patient_id,first_name,last_name,age,gender,dob,admission_date,discharge_date,diagnosis,blood_type,SSN
73,Nil,Bointon,99,Male,1/18/1968,6/23/2022,9/27/2022,Heart Disease,A+,657-80-6485
74,Roze,Plunket,56,Female,8/30/2017,8/13/2021,6/24/2022,Heart Disease,A-,876-18-5497
75,Ros,Serotsky,36,Female,12/14/1909,6/4/2020,9/21/2021,Stroke,AB-,381-59-8715
76,Timmy,Janway,116,Female,12/8/2004,1/21/2022,7/12/2020,Stroke,B+,574-20-4433
77,Gibbie,McClure,49,Male,10/30/1933,8/15/2021,8/10/2021,COVID-19,O+,714-87-1935
78,Maryellen,Smittoune,26,Polygender,7/11/1922,9/5/2021,6/14/2021,Stroke,AB+,347-42-1321
79,Francklin,Chipps,89,Male,4/17/1988,4/3/2022,2/16/2021,Cancer,B+,670-73-8197
80,Lorita,Klosa,53,Genderfluid,3/3/1907,7/15/2021,9/30/2021,Heart Disease,O+,397-16-8143
81,Angel,Aspinell,0,Male,9/13/1982,9/20/2022,10/2/2021,Cancer,A+,129-88-3453
82,Hayes,Forster,40,Male,12/8/1906,7/26/2021,11/8/2020,Stroke,O-,185-63-9935
83,Ivan,Wilkin,19,Male,6/21/2003,4/12/2022,11/10/2022,COVID-19,AB+,390-67-0419
84,Eyde,MacFaell,120,Female,3/28/1989,6/16/2020,3/24/2020,Cancer,B+,812-61-8861
85,Shannah,Yukhov,86,Female,2/12/1980,6/3/2020,2/17/2021,Stroke,O+,641-76-2173
86,Jarrod,Munslow,89,Male,7/20/1928,4/14/2021,8/28/2021,COVID-19,AB+,212-27-5829
87,Zacharias,Hamor,78,Male,5/15/1984,8/27/2022,11/13/2021,Stroke,B+,607-68-6351
88,Marla,Davidoff,51,Female,4/11/1976,9/19/2022,2/6/2022,COVID-19,AB-,448-10-4716
89,Mallory,Moodycliffe,2,Female,1/27/1937,1/24/2022,7/7/2020,Cancer,B+,166-31-6699
90,Keven,Edis,107,Male,7/9/1906,7/12/2022,2/15/2021,Diabetes,A-,308-14-6451
91,Brucie,Vevers,64,Male,10/30/2020,4/3/2022,8/20/2020,Cancer,O+,128-49-7132
92,Chadwick,Hardson,65,Male,1/13/1935,1/17/2020,4/23/2020,Diabetes,AB-,370-72-0149
93,Maddalena,Klimus,43,Female,8/9/1956,7/11/2022,6/21/2021,Diabetes,B+,832-63-2334
94,Giffard,Giocannoni,102,Male,2/16/1935,9/19/2021,11/18/2021,Stroke,A-,153-39-9121
95,Cindy,Nevin,90,Female,10/13/1957,10/12/2022,9/27/2020,Stroke,AB+,284-33-1074
96,Hill,Whillock,58,Bigender,6/24/1955,9/14/2022,11/30/2021,Diabetes,AB+,465-07-3304
97,Bruce,Longfut,71,Male,6/30/1908,8/14/2020,3/8/2022,Diabetes,A-,364-15-8986
98,Annabelle,Hexham,60,Female,10/2/1912,4/9/2020,11/28/2020,Stroke,B+,173-90-0320
99,Patrizius,Phorsby,12,Genderfluid,12/11/1926,10/28/2022,6/13/2021,COVID-19,A+,778-92-5367
100,Hussein,Capnor,100,Male,5/26/1916,3/20/2021,9/8/2021,Stroke,O+,614-68-2430
101,Michel,Donnelly,18,Female,9/5/2007,4/5/2021,8/6/2022,COVID-19,O-,438-10-3945
102,Ag,Cardus,94,Female,11/4/2005,12/29/2021,4/12/2021,Stroke,B-,396-19-8234
103,Falkner,Barnewell,64,Male,1/23/2000,3/6/2022,7/5/2020,Cancer,B-,415-11-7762
104,Gregoire,Paffley,89,Male,3/14/1905,11/4/2021,10/14/2020,Cancer,B-,317-72-4622
105,Franni,Pyle,84,Female,1/23/1995,4/16/2022,11/14/2020,Heart Disease,O-,734-25-7422
106,Taffy,Maund,83,Female,7/10/1997,10/26/2020,5/19/2021,Diabetes,B-,239-68-9761
107,Kelci,Moylan,80,Female,10/1/1949,10/27/2020,8/27/2021,Diabetes,O-,842-14-6302
108,Bibby,Kohrs,48,Female,10/19/2013,3/21/2021,3/4/2020,Cancer,AB-,356-31-1670
109,Reagen,Grumley,112,Male,4/24/1967,12/7/2021,7/8/2022,Heart Disease,B-,524-43-1405
110,Morey,Frammingham,23,Genderfluid,1/6/2022,8/5/2020,1/7/2022,Cancer,B+,248-63-5417
111,Aldon,Haydon,43,Male,3/3/1920,12/13/2022,2/29/2020,COVID-19,B-,184-02-7665
112,Iolande,Burford,54,Female,6/5/1910,11/10/2020,6/9/2020,Cancer,B+,552-29-2642
113,Ivonne,Gerrietz,29,Female,7/3/1941,10/15/2021,7/2/2021,Cancer,AB-,185-27-6336
114,Morty,Atyeo,90,Male,7/6/1964,10/1/2022,11/11/2021,Stroke,B+,369-29-8719
115,Bert,Blennerhassett,47,Male,5/14/1955,11/15/2022,11/15/2020,COVID-19,O+,476-73-5680
116,Faythe,Barton,108,Female,6/4/2004,1/12/2021,5/31/2020,Heart Disease,A+,604-77-8111
117,Levin,Coton,25,Male,6/13/1947,7/7/2021,8/3/2021,Stroke,B+,578-78-3419
118,Dall,Lowcock,36,Male,10/6/1922,8/20/2022,3/13/2022,Cancer,A+,867-25-7992
119,Quintin,Beagles,9,Male,6/28/2015,10/6/2020,3/22/2020,Cancer,B-,460-62-7804
120,Justinian,Mellish,26,Male,2/9/1960,2/9/2022,4/25/2020,COVID-19,AB+,453-49-7293
121,Aldin,O'Hallagan,111,Male,5/30/1948,6/12/2020,5/25/2020,Stroke,A+,519-82-5660
122,Karlee,Kahn,75,Female,7/18/2014,1/29/2022,10/20/2022,Stroke,O-,457-88-1411
123,Em,Rate,1,Male,5/4/1902,8/18/2021,9/20/2021,Cancer,AB+,605-12-8386
124,Lonni,Ivoshin,52,Female,7/18/1949,2/21/2021,4/4/2020,COVID-19,A+,313-36-1189
125,Chelsey,Roostan,52,Female,1/22/1927,5/15/2021,11/6/2021,Diabetes,AB+,891-50-5732
126,Aigneis,Jiroutek,31,Female,8/25/1948,7/24/2020,12/17/2020,Heart Disease,AB-,589-88-8252
127,Gordie,Tassell,112,Male,4/17/1981,3/11/2020,1/31/2021,Stroke,B+,664-39-7633
128,Sanders,Mansuer,40,Male,2/15/2011,6/15/2020,4/13/2022,Stroke,AB-,739-98-2438
129,Hunt,Leach,94,Male,7/19/1900,8/8/2021,9/3/2022,Cancer,A-,120-67-8419
130,Barbette,Lockery,34,Female,10/14/1956,6/2/2022,4/4/2021,Diabetes,AB+,369-44-1039
131,Troy,Bealton,47,Male,6/5/1982,6/2/2022,12/11/2020,Heart Disease,O+,341-94-5692
132,Carmelina,Conechie,20,Female,3/30/1961,4/23/2020,1/8/2021,Diabetes,A-,256-66-4362
133,Ailyn,Knott,9,Female,12/25/1940,8/16/2022,2/25/2020,Heart Disease,AB-,375-20-3286
134,Jeralee,Holah,5,Female,2/16/1928,7/13/2021,3/1/2020,COVID-19,B-,280-46-9619
135,Margaretta,MacKean,57,Female,1/27/1995,3/8/2022,3/19/2021,Diabetes,O+,232-12-5293
136,Kathe,Lafay,101,Female,1/23/1904,10/16/2022,10/1/2021,Heart Disease,B+,138-09-0508
137,Betsey,Felderer,110,Female,2/12/1919,5/3/2021,12/25/2022,COVID-19,B+,745-39-7097
138,Georgie,Maplesden,86,Female,2/23/1994,11/6/2020,5/27/2021,Diabetes,B-,321-13-1889
139,Georgy,Phillp,65,Male,6/20/1912,5/29/2022,10/14/2021,Diabetes,A+,457-46-4285
140,Rhetta,Hodgins,60,Female,4/19/1934,3/12/2021,6/18/2022,Diabetes,B-,519-99-7874
141,Ring,O'Growgane,18,Bigender,1/18/1937,7/11/2022,10/17/2020,COVID-19,B-,373-90-5453
142,Stormi,Balassa,88,Polygender,8/31/1942,2/14/2021,5/17/2020,Cancer,A-,576-57-0233
143,Ellsworth,Walasik,108,Male,12/4/1907,5/14/2022,9/27/2020,Diabetes,O-,322-43-3403
144,Geoffry,Dodgson,68,Male,5/30/1989,11/27/2022,6/29/2020,COVID-19,O+,604-45-6042
145,Marlene,Olden,47,Female,7/22/1953,2/6/2021,11/12/2020,Heart Disease,A-,162-61-6493
146,Cookie,Hanmore,83,Female,2/1/1976,5/31/2021,9/1/2022,Cancer,AB-,336-57-4339
147,Angeli,Spleving,45,Male,2/11/1991,6/12/2022,1/7/2020,Heart Disease,B+,715-70-4498
148,Nannie,Shillabear,0,Female,3/22/1951,4/2/2022,11/24/2022,Stroke,O-,720-75-2026
149,Shelton,Ferandez,24,Male,12/19/1978,8/13/2022,11/26/2020,COVID-19,O-,210-53-0979
150,Kimberly,Renton,52,Female,6/11/1997,10/4/2020,5/26/2021,Diabetes,A+,818-45-9816
151,Yettie,Brockhouse,104,Non-binary,5/23/1956,9/5/2022,4/28/2021,Cancer,A-,756-78-3019
152,Judon,Mallatratt,105,Male,6/25/1979,4/5/2021,2/4/2020,Diabetes,O+,518-11-9779
153,Binnie,Chisolm,55,Female,3/16/2006,4/24/2022,2/3/2022,Heart Disease,A-,265-50-1697
154,Lynnette,Colicot,97,Female,5/25/1966,4/24/2022,9/23/2020,Stroke,A+,810-48-2352
155,Jonathan,D'Onisi,31,Male,1/8/1907,9/11/2022,11/15/2021,Heart Disease,O-,751-53-8399
156,Sasha,Kamenar,2,Female,12/22/1944,6/26/2022,7/4/2022,Heart Disease,A-,167-91-7102
157,Leonardo,Rudd,20,Male,3/28/2020,7/25/2022,3/24/2021,Stroke,A+,325-83-9356
158,Padriac,Pitson,88,Male,3/4/1983,7/10/2022,11/17/2022,Diabetes,B+,494-66-8522
159,Gunner,Laydel,71,Male,7/9/1955,8/31/2021,10/6/2021,COVID-19,O-,141-48-9421
160,Shurlocke,Stearnes,101,Male,5/13/1949,11/24/2021,1/26/2020,Stroke,B+,189-59-4208
161,Skippie,Mountjoy,100,Male,4/19/1973,5/3/2021,8/28/2021,Heart Disease,AB-,590-51-9688
162,Sherlock,Axtell,104,Male,1/15/1948,1/7/2021,10/19/2021,Diabetes,B+,885-17-6728
163,Eleonore,Bilverstone,88,Female,4/20/2016,11/18/2021,1/12/2022,Diabetes,B+,325-34-2757
164,Jeffy,Eat,94,Male,5/27/1908,12/23/2020,5/1/2020,COVID-19,A-,478-75-9809
165,Fitz,Kempson,87,Male,5/1/1989,7/20/2020,12/24/2020,COVID-19,B+,747-53-0857
166,Trescha,Capponer,24,Polygender,4/4/1956,10/19/2021,8/8/2020,Stroke,AB-,114-69-0697
167,Sinclair,Hunstone,72,Male,11/5/2018,1/25/2020,9/5/2020,Heart Disease,AB+,104-93-1232
168,Devland,Kelsey,49,Male,9/20/1932,12/7/2020,10/29/2022,Diabetes,AB-,601-46-0664
169,Caz,MacCathay,61,Male,10/2/1925,6/1/2022,2/3/2020,Heart Disease,A+,805-14-4215
170,Sindee,Jorczyk,43,Female,5/7/2015,3/28/2020,11/12/2022,Stroke,B-,705-06-9325
171,Derry,Campaigne,4,Male,6/3/1933,10/11/2022,1/18/2021,Stroke,B+,477-68-0807
172,Carlo,Edgeson,35,Male,10/20/1942,10/1/2021,11/22/2021,Heart Disease,A-,331-83-7868
173,Winn,Rheaume,36,Male,9/4/1992,8/16/2021,4/18/2022,Heart Disease,A+,575-25-5466
174,Ashlin,Winkell,91,Male,9/19/1955,8/15/2022,4/25/2021,Heart Disease,AB+,307-90-9421
175,Anabel,Talby,98,Female,8/22/1936,2/25/2020,12/13/2021,Cancer,O+,538-81-0766
176,Randell,Freshwater,102,Male,10/22/1929,3/6/2020,11/28/2021,Stroke,A+,318-68-9359
177,Hubey,Petrovykh,68,Male,9/23/1995,5/4/2021,7/18/2020,Stroke,B-,703-18-6873
178,Kareem,Dowyer,44,Male,2/8/1990,9/4/2021,11/4/2021,Stroke,A+,126-72-9193
179,Carr,Sobieski,51,Male,5/29/2000,3/15/2022,11/18/2022,Diabetes,B-,496-64-3603
180,Bradney,Basilone,12,Male,7/15/2009,3/16/2020,11/10/2021,COVID-19,O+,339-77-6459
181,Tabitha,Gladhill,81,Female,11/29/1999,11/3/2020,9/25/2022,Heart Disease,A-,342-66-3528
182,Winnie,Gorioli,31,Male,9/11/1941,10/17/2021,10/15/2021,Heart Disease,O-,176-53-2191
183,Shauna,Emett,92,Female,1/31/1916,1/31/2021,3/4/2022,Cancer,B-,782-01-6182
184,Callie,Riediger,30,Female,2/7/1988,8/31/2020,3/22/2021,Cancer,A+,532-06-4029
185,Romain,Demcik,120,Male,12/31/1955,2/21/2021,5/31/2021,Stroke,B-,260-98-4969
186,Evelin,Caley,92,Male,1/6/1919,10/28/2020,7/2/2022,Cancer,O+,720-24-4064
187,Ernest,Shillito,74,Male,5/3/1982,3/4/2020,1/1/2020,Diabetes,AB-,326-02-0323
188,Francyne,Ruggieri,52,Female,9/16/1984,10/18/2021,10/12/2020,COVID-19,O+,142-32-4307
189,Emlyn,Pero,58,Female,12/14/1918,6/12/2020,3/4/2020,Heart Disease,B+,861-58-2825
190,Gifford,Wilsone,92,Agender,5/6/1985,11/12/2022,4/1/2022,Cancer,B+,136-54-1924
191,Theresa,Dwight,119,Female,1/28/1933,6/22/2022,10/28/2021,Heart Disease,A+,529-42-9287
192,Kent,McLafferty,16,Male,4/23/2002,3/3/2022,10/28/2021,Heart Disease,O+,293-22-3268
193,May,Cadell,44,Female,2/15/1998,4/22/2021,3/8/2022,COVID-19,A-,202-87-3864
194,Octavius,Mereweather,3,Male,6/26/1926,1/29/2021,12/8/2021,Heart Disease,B-,148-90-2536
195,Maggi,Divis,9,Female,3/12/2004,5/11/2021,12/20/2020,Cancer,O+,746-28-5816
196,Byrom,Blewmen,77,Male,1/2/1900,12/18/2022,5/15/2021,Stroke,B-,883-54-4952
197,Clevey,Blood,16,Male,9/17/2010,12/28/2020,1/16/2020,Diabetes,AB-,125-97-3668
198,Perice,Duligall,35,Male,10/23/1909,7/28/2022,11/27/2021,COVID-19,A-,473-95-9296
199,Michaelina,Beevens,63,Female,7/2/1993,12/12/2022,11/24/2021,Stroke,AB+,892-32-1147
200,Maressa,Summerton,56,Female,5/12/1956,7/11/2020,10/12/2021,Heart Disease,O+,761-75-6801
201,Alicia,Feeny,68,Female,7/24/1961,12/23/2021,10/16/2021,Heart Disease,B-,860-31-6605
202,Petrina,Mirfin,108,Female,3/26/1947,11/24/2022,4/24/2021,Stroke,O+,889-70-7835
203,Marylee,Champain,7,Female,8/17/1918,12/13/2021,10/24/2020,Cancer,O-,879-48-2605
204,Amandi,Kelleway,117,Female,8/19/1952,7/19/2022,7/12/2020,Heart Disease,AB-,631-56-0976
205,Edwin,Dunnaway,9,Male,2/12/2017,1/3/2022,6/9/2022,Cancer,B+,377-68-1749
206,Cliff,Martins,41,Male,5/28/1952,2/22/2022,7/27/2022,COVID-19,AB+,720-07-5516
207,Whitby,Winton,65,Male,8/9/1989,2/13/2022,11/3/2020,Cancer,O-,837-96-0952
208,Lucian,Carver,100,Genderfluid,9/21/1937,7/30/2020,2/25/2020,Heart Disease,A-,173-26-6546
209,Dane,Stannah,78,Male,3/7/1918,10/12/2022,2/17/2021,Cancer,AB+,598-96-2503
210,Mabelle,Sykes,16,Female,12/15/1980,11/19/2020,8/12/2020,COVID-19,O-,203-56-3110
211,My,Flinn,26,Male,6/8/2008,3/16/2022,5/23/2021,Heart Disease,A-,200-26-1160
212,Chilton,Ovell,8,Male,5/5/1974,6/13/2021,12/10/2022,Heart Disease,O-,334-23-0992
213,Zilvia,Readwood,95,Female,7/2/1943,5/6/2021,11/5/2022,COVID-19,AB+,353-15-4833
214,Hastie,Graveson,105,Male,12/15/2011,4/14/2020,4/2/2020,Cancer,A+,715-23-4296
215,Dorolice,Giovanizio,39,Female,10/22/1998,9/14/2020,2/20/2021,Heart Disease,O+,289-02-8602
216,Nowell,O'Mailey,60,Male,6/29/1970,10/18/2020,8/16/2022,Diabetes,AB-,815-92-0426
217,Sigfried,Gaucher,41,Male,7/29/1962,9/9/2021,1/25/2021,Heart Disease,O-,270-81-5279
218,Nils,Denzey,3,Male,9/14/1937,8/5/2021,8/5/2020,Heart Disease,O-,485-57-9126
219,Wallas,Waddilove,55,Non-binary,5/31/2013,6/23/2021,10/14/2020,Stroke,O-,145-65-6197
220,Stacy,Todarello,49,Polygender,10/8/1900,9/13/2021,3/18/2020,Heart Disease,AB+,199-51-7574
221,Orton,Heaton,105,Male,3/30/1945,11/25/2022,9/11/2020,Cancer,A+,871-35-3206
222,Leanna,Hann,84,Female,7/5/1973,8/29/2021,3/15/2020,COVID-19,B+,417-81-2220
223,Lynda,Chaudret,4,Female,7/2/1945,8/5/2021,4/6/2020,COVID-19,AB-,293-93-2044
224,Friedrick,Yukhnin,76,Male,4/14/2012,10/18/2021,2/18/2020,COVID-19,B-,490-09-8464
225,Leif,Crossthwaite,10,Male,4/20/2015,4/30/2022,10/30/2020,Diabetes,AB-,402-86-6884
226,Arlyn,Butten,29,Female,4/24/1931,5/28/2022,12/14/2021,Cancer,A+,521-45-4304
227,Chariot,Tolwood,85,Male,12/30/1993,12/20/2021,11/23/2020,Stroke,B+,242-53-2471
228,Irita,Hugonneau,86,Female,12/11/1967,10/10/2021,1/13/2022,Stroke,B+,621-27-1283
229,Andros,Grimoldby,118,Male,1/3/1909,3/31/2021,3/4/2022,COVID-19,B+,270-29-8909
230,Bruce,Goldes,22,Male,3/20/2010,5/28/2022,5/5/2021,Cancer,O-,642-24-7488
231,Almeria,Picopp,8,Female,5/26/2007,9/11/2020,10/17/2021,Diabetes,O-,445-41-0086
232,Honey,Caunt,22,Female,6/5/1908,10/22/2022,9/7/2022,Heart Disease,O-,589-31-7608
233,Buck,Mariolle,65,Male,9/8/1955,12/20/2020,8/21/2020,Diabetes,O-,816-82-2210
234,Domini,Haward,109,Female,3/30/1946,6/29/2022,5/21/2022,Diabetes,B+,154-32-8034
235,Tim,Clace,13,Female,10/28/1949,12/24/2020,12/23/2021,Cancer,B+,809-35-6105
236,Frederique,Whybrow,29,Non-binary,9/1/2009,4/20/2021,7/4/2020,COVID-19,O-,216-61-7682
237,Piper,Baskwell,112,Female,12/11/1963,11/7/2021,8/10/2022,Cancer,O-,772-35-2968
238,Grata,Pound,60,Female,9/5/1945,11/22/2022,6/9/2021,Diabetes,B-,504-31-6199
239,Eolande,Adolfsen,90,Non-binary,4/4/1945,6/6/2022,2/23/2020,Diabetes,O+,780-15-0075
240,Leroy,Paxforde,90,Polygender,4/30/1908,7/24/2020,4/24/2020,Cancer,A-,557-27-9985
241,Jerrilyn,Seide,69,Female,7/2/2017,9/24/2022,6/23/2022,Diabetes,O+,295-91-5422
242,Fredrick,Kember,52,Male,7/17/1952,9/28/2021,12/25/2020,COVID-19,O-,848-17-7040
243,Jillene,Radborn,36,Female,2/20/1962,6/11/2021,5/18/2022,Heart Disease,B+,394-79-7404
244,Raoul,Stilgo,58,Male,6/15/1958,6/8/2021,4/5/2022,COVID-19,B+,810-05-4705
245,Hamish,Westnage,46,Male,10/29/1998,7/12/2022,4/22/2020,Diabetes,AB-,114-47-7436
246,Chev,Sussems,24,Male,1/13/1943,4/5/2020,8/22/2021,Heart Disease,A-,612-63-1453
247,Auguste,Georgievski,73,Female,1/26/1983,12/6/2020,4/24/2022,COVID-19,O+,650-68-5922
248,Lemuel,Fairebrother,79,Male,11/12/1915,9/20/2022,3/8/2021,COVID-19,B+,797-99-7692
249,Julita,Alyukin,100,Female,11/7/1917,8/26/2021,12/3/2022,COVID-19,O+,165-72-7742
250,Martynne,Possel,71,Female,5/7/1993,4/29/2022,6/2/2020,Diabetes,AB+,263-15-2660
251,Claudina,Furmedge,4,Genderqueer,10/30/1990,3/2/2020,3/22/2021,Heart Disease,O+,478-34-5953
252,Ardyth,Moxstead,68,Agender,1/24/2021,11/25/2022,8/15/2021,Diabetes,O-,703-44-4464
253,Kimberlyn,Crannell,43,Female,4/16/2008,7/19/2022,10/28/2021,Diabetes,B-,700-70-2159
254,Helenelizabeth,Paddock,52,Female,6/1/1991,1/22/2021,8/13/2022,Cancer,AB-,648-34-2248
